customer_id,first_name,last_name,email,phone_number,phone_ext,gender,dob,signup_date,age_at_signup,address,city,state,country,device_count,source,first_name_raw,last_name_raw,email_raw,phone_number_raw,name_flag,email_flag,phone_flag,age_flag
c6d75ac6-2355-4dae-b448-05a622638664,Jason,Bernard,justin.rosales366@hotmail.com,3983990732,,F,1999-02-21,2025-09-11,27.0,783 Erica Wells Suite 688,Port Jennifer,Mississippi,Palestinian Territory,5,app,Jason,Bernard,justin.rosales366@hotmail.com,3983990732,이메일불일치_보류,,,
8660d669-3999-4842-83d3-81c467ef5155,Robert,Hopkins,robert.hopkins625@hotmail.com,6161073508,3177,M,2006-08-14,2019-05-27,13.0,182 Shaffer Cliffs,Taylorfort,New York,Burundi,1,app, Robert,Hopkins ,robert.hopkins625@hotmail.com,+1-616-107-3508x3177,,,,가입시_14세미만
09857f5c-23d3-43bf-b570-de4ac7c2cee9,Michelle,Qquuiinn,michelle.quinn838@yahoo.com,5437742412,8700,F,1991-04-18,2019-01-18,28.0,7322 Lindsey Island,Louishaven,Missouri,Malaysia,1,referral,MICHELLE,QQuuiinn,michelle.quinn838@yahoo.com,001-543-774-2412x8700,이메일불일치_보류,,,
374cd494-12f8-461a-a6be-e8959b689f6e,John,Adams,jeremiah.mack058@gmail.com,4156771023,7296,O,1958-08-25,2014-09-01,56.0,7011 Montoya Wall,New Michael,Delaware,Aruba,5,referral,John,Adams,jeremiah.mack058@gmail.com,415-677-1023x7296,이메일불일치_보류,,,
64baa3a6-44f3-4c89-9c8c-e27e6ef6aa39,Michelle,Adams,shared1211@hotmail.com,8496380432,,O,1981-01-03,2024-08-05,44.0,032 Caroline Parkway,East Dustinmouth,Missouri,Cambodia,1,app,Michelle,Adams,shared1211@hotmail.com,8496380432,,공용이메일,,
4a5911c1-31ce-4f78-9955-41477de74396,Jacob,Davis,,8045340086,,F,1964-02-08,2024-09-27,61.0,9467 Yates Canyon,Brentport,South Carolina,Ecuador,1,app,Jacob,Davis,,804-534-0086,,결측,,
3a97c8e5-cb64-4556-8491-8dfa83ad1abc,Michelle,Sullivan,,2649502052,6762,O,1970-05-06,2019-10-01,49.0,237 Martin Way,Sharonberg,Colorado,Nigeria,1,web,Michelle,Sullivan,,264-950-2052x6762,,결측,,
ed4691c9-2bed-4e6f-966e-86fa3cc0c00f,Alejandra,Lewis,lisa.nichols587@yahoo.com,1366360376,617,M,1991-01-14,2022-05-18,31.0,65493 Woodward Unions Suite 440,Andersonchester,Rhode Island,Nicaragua,1,referral,Alejandra,Lewis,lisa.nichols587@yahoo.com,136.636.0376x617,이메일불일치_보류,,,
1582c319-f70d-474d-bf0c-38c8f085a5d2,Cameron,Cole,cameron.cole970@gmail.com,5428113744,86877,F,2005-06-14,2015-01-01,10.0,191 Anthony Corner,Port Paulborough,Oregon,Lebanon,1,referral,Cameron,Cole,cameron.cole970@gmail.com,542.811.3744x86877,,,,가입시_14세미만
a065688a-555f-4068-95d1-2dce2ec1a6de,Matthew,Baker,matthew.baker219@yahoo.com,9627807356,33034,M,2006-12-19,2017-04-14,10.0,5645 Stewart Lane,Lake Gregory,North Dakota,Tuvalu,1,referral,Matthew,Baker,matthew.baker219@yahoo.com,962.780.7356x33034,,,,가입시_14세미만
933a2752-8455-49ed-9eee-c1c48c00fc3a,Gregory,Bird,gregory.bird180@yahoo.com,4516984030,430,M,1994-02-16,2015-01-04,21.0,883 Darius Viaduct,Wilsonmouth,Wyoming,Bahrain,1,referral,Gregory,Bird,gregory.bird180@yahoo.com,+1-451-698-4030x430,,,,
9fa84ad0-84c8-4896-a171-c0d4e3543643,Christopher,Hatfield,christopher.hatfield558@yahoo.com,4274603661,,F,2002-06-02,2023-08-26,21.0,27866 Barbara Spring,Collinsmouth,Wisconsin,Isle Of Man,1,referral,Christopher,Hatfield,christopher.hatfield558@yahoo.com,(427)460-3661,,,,
c348cb41-e222-427e-b5da-b12ef93c8420,Cathy,Smith,cathy.smith613@yahoo.com,2754301282,285,M,1998-03-26,2019-03-08,21.0,2159 Hardin Skyway,Sandersville,New York,Angola,1,referral,Cathy,Smith,cathy.smith613@yahoo.com,275.430.1282x285,,,,
1715b19e-34a2-466f-84ac-a4312e6da58f,Curtis,Shepard,curtis.shepard883@hotmail.com,8516864624,69907,M,1979-01-19,2020-07-21,42.0,3585 Derek Ridge,Michaelfurt,Kansas,Costa Rica,1,web,Curtis,Shepard,curtis.shepard883@hotmail.com,001-851-686-4624x69907,,,,
dbe33048-f2d1-4808-8fd5-e90b42ec5fe0,Joshua,Bryant,joshua.bryant649@hotmail.com,1806353350,,M,1984-01-01,2024-08-08,41.0,20526 Murphy Fords Suite 895,South Janice,Ohio,Burundi,1,web,JOSHUA,bryant,joshua.bryant649@hotmail.com,+1-180-635-3350,,,,
ca53513c-645e-4f5a-aed4-81340392b392,Randy,Floyd,randy.floyd682@hotmail.com,5636040110,,F,1961-01-14,2020-10-25,60.0,026 Park Spring,New Kevinton,Idaho,Spain,1,web,Randy,Floyd,randy.floyd682@hotmail.com,001-563-604-0110,,,,
2a474259-1543-4e39-947a-9ec4d379462a,Emily,Nguyen,emily.nguyen717@hotmail.com,9077094977,198,M,1970-10-13,2017-05-26,47.0,74171 Cobb Mill Apt. 043,Geraldton,Georgia,British Virgin Islands,1,referral,Emily,Nguyen,emily.nguyen717@hotmail.com,907.709.4977x198,,,,
10fc4a1e-24b1-40d8-ba95-024f5d69fe48,Laurie,Higgins,laurie.higgins527@yahoo.com,4544885041,,M,1957-12-30,2016-07-25,59.0,6936 Suzanne Landing Suite 822,Marquezport,Nevada,Uganda,1,web,Laurie!, Higgins,laurie.higgins527@yahoo.com,454-488-5041,,,,
4ceb3703-cfc0-4ef7-b142-80ae26569c42,Deanna,Anderson,deanna.anderson248@hotmail.com,8008314039,,O,1991-10-13,2018-06-21,27.0,991 Washington Wall,Kevinland,Virginia,Congo,1,referral,Deanna,Anderson,deanna.anderson248@hotmail.com,800-831-4039,,,,
5abeadf0-bb10-4f2f-8426-fca2885a2eb6,Kevin,Riley,kevin.riley936@gmail.com,2371154989,4471,M,1992-06-30,2014-10-11,22.0,53126 Santana Loaf,Amandaview,Pennsylvania,Iceland,1,referral,Kevin,Riley,kevin.riley936@gmail.com,237.115.4989x4471,,,,
27b4774e-766d-4c2e-a3de-1e3a2667366b,Amanda,Rodriguez,amanda.rodriguez352@gmail.com,2633545433,120,F,1996-01-09,2014-01-12,18.0,910 Bush Stravenue,Port Juliastad,West Virginia,Belize,1,referral,Amanda,Rodriguez,amanda.rodriguez352@gmail.com,001-263-354-5433x120,,,,
afe22ece-88ca-4100-a89e-d7297273376e,Timothy,Mason,timothy.mason877@gmail.com,4855800045,32619,O,1986-06-17,2021-03-10,35.0,5466 Bryan Trafficway,Lake Aliciaberg,Georgia,Fiji,1,referral,Timothy,Mason,timothy.mason877@gmail.com,(485)580-0045x32619,,,,
b0596ea5-b0d3-49e4-91ef-e9519444a4a1,Mary,Hernandez,mary.hernandez881@hotmail.com,8488328012,613,M,2003-07-23,2022-12-26,19.0,91827 Laura Cliff Suite 853,Daltonbury,North Carolina,Svalbard & Jan Mayen Islands,1,app,Mary,Hernandez,mary.hernandez881@hotmail.com,+1-848-832-8012x613,,,,
98997f11-7347-49fb-b1f2-636f08e2608f,Angela,Burgess,angela.burgess415@hotmail.com,7574813326,,M,1966-02-01,2022-12-03,57.0,9005 Patterson Flat Suite 560,West William,Indiana,Guatemala,1,referral,Angela,Burgess,angela.burgess415@hotmail.com,757.481.3326,,,,
71290f66-d1d4-46a2-b42a-482d98aba85f,Mark,Cobb,mark.cobb564@hotmail.com,8782826451,,F,1971-03-26,2022-08-17,51.0,9855 Molly Islands,North Daisyton,Wisconsin,Russian Federation,1,web,Mark,Cobb,mark.cobb564@hotmail.com,878.282.6451,,,,
e1d0a6cc-26a3-4ee1-9818-6cf67b7d3c21,Keith,Austin,keith.austin614@gmail.com,1814373181,204,M,1966-03-06,2014-01-14,48.0,06251 Martin Viaduct,New Alan,Maryland,Liechtenstein,1,web,Keith*,Austin ,keith.austin614@gmail.com,181-437-3181x204,,,,
